Batch Size,Buffer Size,Target Update Freq,Average Rewards Mean
32,10000,20,322.54940000000005
32,10000,50,302.2162
32,1000,20,305.15619999999996
32,1000,50,295.2856
128,10000,20,335.639
128,10000,50,322.403
128,1000,20,323.802
128,1000,50,292.492
1024,10000,20,283.064
1024,10000,50,285.0252
1024,1000,20,22.2286
1024,1000,50,21.912200000000002
